date,subs
4/1/2021,2973
4/2/2021,2864
4/3/2021,3014
4/4/2021,3118
4/5/2021,2894
4/6/2021,2899
4/7/2021,2864
4/8/2021,2916
4/9/2021,2927
4/10/2021,3053
4/11/2021,3113
4/12/2021,3025
4/13/2021,2981
4/14/2021,3461
4/15/2021,3286
4/16/2021,3458
4/17/2021,3472
4/18/2021,3773
4/19/2021,3812
4/20/2021,5417
4/21/2021,7026
4/22/2021,3001
4/23/2021,3603
4/24/2021,3247
4/25/2021,3198
4/26/2021,3124
4/27/2021,3017
4/28/2021,2839
4/29/2021,2902
4/30/2021,3212
5/1/2021,3151
5/2/2021,3198
5/3/2021,3058
5/4/2021,3044
5/5/2021,2918
5/6/2021,3116
5/7/2021,3212
5/8/2021,3609
5/9/2021,3349
5/10/2021,3014
5/11/2021,3149
5/12/2021,3365
5/14/2021,3557
5/13/2021,
5/15/2021,3664
5/16/2021,3571
5/17/2021,3086
5/18/2021,3686
5/19/2021,3982
5/20/2021,4527
5/21/2021,6149
5/22/2021,8697
5/23/2021,14004
5/24/2021,9563
5/25/2021,8039
5/26/2021,6437
5/27/2021,6472
5/28/2021,5828
5/29/2021,7363
5/30/2021,6713
5/31/2021,4236
6/1/2021,5217
6/2/2021,5099
6/3/2021,4921
6/4/2021,5261
6/5/2021,5672
6/6/2021,5661
6/7/2021,5790
6/8/2021,4962
6/9/2021,4872
6/10/2021,4949
6/11/2021,5609
6/12/2021,6543
6/13/2021,6048
6/15/2021,4540
6/16/2021,5310
6/14/2021,
6/17/2021,6796
6/18/2021,6376
6/19/2021,6730
6/20/2021,6960
6/21/2021,7601
6/22/2021,6968
6/23/2021,8253
6/25/2021,8316
6/26/2021,8385
6/27/2021,7398
6/24/2021,
6/28/2021,7881
6/29/2021,8275
6/30/2021,7883
7/1/2021,10916
7/2/2021,10903
7/3/2021,10708
7/4/2021,9683
7/5/2021,13999
7/7/2021,11700
7/8/2021,13076
7/9/2021,13322
7/10/2021,12196
7/6/2021,
7/11/2021,11108
7/12/2021,10478
7/13/2021,8938
7/14/2021,8749
7/15/2021,10703
7/16/2021,10158
7/17/2021,10470
7/18/2021,10092
7/19/2021,9366
7/20/2021,9256
7/21/2021,10179
7/22/2021,10566
7/23/2021,12750
7/24/2021,11171
7/25/2021,10492
7/26/2021,11180
7/27/2021,10105
7/28/2021,12848
7/29/2021,13270
7/30/2021,11549
7/31/2021,10497
8/1/2021,10790
8/2/2021,9431
