Mã CK,Tên công ty,Sàn,Nhóm ngành,Năm,CPI,"GDP
(tỷ đồng)","I. Tiền mặt, vàng bạc, đá quý",VI. Cho vay khách hàng,TỔNG CỘNG TÀI SẢN,II. Tiền gửi và vay các TCTD khác,III. Tiền gửi của khách hàng,TỔNG NỢ PHẢI TRẢ,VIII. Vốn và các quỹ,I. Thu nhập lãi thuần (1-2),6. Chi phí hoạt động khác,VIII. Chi phí hoạt động,XIII. Lợi nhuận sau thuế (XI-XII),"Nợ 
Nhóm 3","Nợ 
Nhóm 4","Nợ 
Nhóm 5",Time,INF
ACB,Ngân hàng TMCP Á Châu,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,6.96792E+12,3.08529E+14,4.4453E+14,2.38752E+13,3.53196E+14,4.09082E+14,3.54482E+13,1.45821E+13,2.15809E+11,7.62427E+12,7.68282E+12,2.12494E+11,4.11284E+11,1.21661E+12,2020,3.220934367
BAB,Ngân hàng TMCP Bắc Á,HNX,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,6.38946E+11,7.86186E+13,1.17189E+14,1.3232E+13,8.64422E+13,1.08826E+14,8.36358E+12,2.03107E+12,16437000000,1.24039E+12,5.87794E+11,23123000000,2.71073E+11,3.33804E+11,2020,3.220934367
BaoVietBank,Ngân hàng TMCP Bảo Việt,OTC,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,1.58454E+11,2.26527E+13,5.91875E+13,1.64635E+13,3.37411E+13,5.558E+13,3.60746E+12,5.23591E+11,17121604652,6.05377E+11,57044266651,1.3888E+11,3.95966E+11,1.1259E+12,2020,3.220934367
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,1.22942E+13,1.19524E+15,1.51669E+15,8.22608E+13,1.22667E+15,1.43704E+15,7.96466E+13,3.57968E+13,2.90022E+12,1.7693E+13,7.22357E+12,2.38214E+12,2.46223E+12,1.65251E+13,2020,3.220934367
CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,9.93018E+12,1.00277E+15,1.34144E+15,1.28519E+14,9.90331E+14,1.25603E+15,8.54113E+13,3.55808E+13,7.85226E+11,1.60853E+13,1.37572E+13,1.85724E+12,1.61159E+12,6.05027E+12,2020,3.220934367
EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,2.07313E+12,9.94876E+13,1.60435E+14,6.32036E+12,1.33918E+14,1.43616E+14,1.68195E+13,3.31374E+12,39703000000,2.43868E+12,1.07018E+12,1.59488E+11,4.79162E+11,1.89581E+12,2020,3.220934367
HDB,Ngân hàng TMCP Phát triển TP. HCM,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,2.25726E+12,1.76388E+14,3.19127E+14,7.51756E+13,1.7462E+14,2.94423E+14,2.4704E+13,1.18977E+13,1.1125E+11,6.17283E+12,4.6471E+12,8.15E+11,8.03467E+11,7.38881E+11,2020,3.220934367
LPB,Ngân hàng TMCP Bưu điện Liên Việt,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,3.49927E+12,1.74356E+14,2.42343E+14,1.47451E+13,1.74526E+14,2.28111E+14,1.42317E+13,6.72017E+12,66676000000,4.64515E+12,1.86191E+12,4.04729E+11,3.56353E+11,1.76627E+12,2020,3.220934367
MBB,Ngân hàng TMCP Quân Đội,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,3.10923E+12,2.93943E+14,4.94982E+14,5.08765E+13,3.1096E+14,4.44883E+14,5.00995E+13,2.02778E+13,1.12928E+12,1.05555E+13,8.60604E+12,8.89758E+11,9.73564E+11,1.38448E+12,2020,3.220934367
MSB,Ngân hàng TMCP Hàng hải Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,2.20464E+12,7.84976E+13,1.76698E+14,5.60257E+13,8.75102E+13,1.59823E+14,1.68748E+13,4.82239E+12,2.05094E+11,3.58592E+12,2.01114E+12,2.95721E+11,3.94154E+11,8.67771E+11,2020,3.220934367
